OID_,Value,Count,Feature_hoos2,bps_aoi,evt_aoi,MAP_UNIT_SYMBOL,BPS_MODEL,BPS_NAME,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,EVT_NAME,EVT_PHYS
1,1,80183,1,2072,7305,223Ba01,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood
2,2,49013,1,2067,7305,223Ba01,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,6,199,21,4,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood
3,3,26856,1,2072,7321,223Ba01,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,South-Central Interior Mesophytic Forest,Hardwood
4,4,10831,1,2067,7321,223Ba01,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,6,199,21,4,South-Central Interior Mesophytic Forest,Hardwood
5,5,94,1,2072,7907,223Ba01,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,Eastern Cool Temperate Urban Mixed Forest,Developed
6,6,2410,1,2072,9315,223Ba01,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,Northern & Central Native Ruderal Forest,Conifer-Hardwood
7,7,54,1,2067,7907,223Ba01,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,6,199,21,4,Eastern Cool Temperate Urban Mixed Forest,Developed
8,8,6782,1,2085,7305,223Ba01,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood
9,9,46,1,2072,7906,223Ba01,13210_47_48_53_57,South-Central Interior Mesophytic Forest,869,534,86,68,Eastern Cool Temperate Urban Evergreen Forest,Developed
10,10,1456,1,2088,7305,223Ba01,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,987,0,0,987,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood
11,11,1105,1,2067,9315,223Ba01,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,6,199,21,4,Northern & Central Native Ruderal Forest,Conifer-Hardwood
12,12,2992,1,2084,7305,223Ba01,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,613,392,121,80,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood
13,13,2005,1,2084,7321,223Ba01,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,613,392,121,80,South-Central Interior Mesophytic Forest,Hardwood
14,14,3965,1,2085,7321,223Ba01,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,South-Central Interior Mesophytic Forest,Hardwood
15,15,19990,1,11,7292,223Ba01,,Open Water,0,0,0,0,Open Water,Open Water
16,16,212,1,2070,7305,223Ba01,13100_47,North-Central Interior Dry-Mesic Oak Forest and Woodland,162,160,11,9,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood
17,17,1281,1,2085,7974,223Ba01,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,Eastern Cool Temperate Row Crop,Agricultural
18,18,185,1,2085,9224,223Ba01,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,South-Central Interior Small Stream and Riparian Forest,Riparian
19,19,666,1,2085,9315,223Ba01,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,Northern & Central Native Ruderal Forest,Conifer-Hardwood
20,20,191,1,2085,9314,223Ba01,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,990,0,200,167,Northern & Central Native Ruderal Flooded & Swamp Forest,Riparian
