"","model_label","Model_Code","refLabel","refPercent","BpS_Name","OID_","Value","Count","Feature_hoos2","bps_aoi","scls_aoi","MAP_UNIT_SYMBOL","BPS_NAME","total_count","currentPercent"
"1","13050_47_48_A","13050_47_48","A",39,"Southern Interior Low Plateau Dry-Mesic Oak Forest",37,37,188,1,2067,1,"223Ba01","Southern Interior Low Plateau Dry-Mesic Oak Forest",64134,0
"2","13050_47_48_A","13050_47_48","A",39,"Southern Interior Low Plateau Dry-Mesic Oak Forest",105,105,5,3,2067,1,"223Ba03","Southern Interior Low Plateau Dry-Mesic Oak Forest",9801,0
"3","13050_47_48_A","13050_47_48","A",39,"Southern Interior Low Plateau Dry-Mesic Oak Forest",116,116,72,4,2067,1,"223Ba04","Southern Interior Low Plateau Dry-Mesic Oak Forest",22789,0
"4","13050_47_48_A","13050_47_48","A",39,"Southern Interior Low Plateau Dry-Mesic Oak Forest",220,220,8,2,2067,1,"223Ba02","Southern Interior Low Plateau Dry-Mesic Oak Forest",33882,0
"5","13050_47_48_A","13050_47_48","A",39,"Southern Interior Low Plateau Dry-Mesic Oak Forest",252,252,69,5,2067,1,"223De01","Southern Interior Low Plateau Dry-Mesic Oak Forest",129463,0
"6","13050_47_48_A","13050_47_48","A",39,"Southern Interior Low Plateau Dry-Mesic Oak Forest",282,282,7,7,2067,1,"223De03","Southern Interior Low Plateau Dry-Mesic Oak Forest",15416,0
"7","13050_47_48_A","13050_47_48","A",39,"Southern Interior Low Plateau Dry-Mesic Oak Forest",378,378,8,6,2067,1,"223De02","Southern Interior Low Plateau Dry-Mesic Oak Forest",19333,0
"8","13050_47_48_A","13050_47_48","A",39,"Southern Interior Low Plateau Dry-Mesic Oak Forest",403,403,10,8,2067,1,"223De04","Southern Interior Low Plateau Dry-Mesic Oak Forest",65587,0
"9","13050_47_48_A","13050_47_48","A",39,"Southern Interior Low Plateau Dry-Mesic Oak Forest",475,475,15,9,2067,1,"223De05","Southern Interior Low Plateau Dry-Mesic Oak Forest",143797,0
"10","13050_47_48_A","13050_47_48","A",39,"Southern Interior Low Plateau Dry-Mesic Oak Forest",500,500,20,10,2067,1,"223De06","Southern Interior Low Plateau Dry-Mesic Oak Forest",120326,0
"11","13050_47_48_B","13050_47_48","B",2,"Southern Interior Low Plateau Dry-Mesic Oak Forest",186,186,1,4,2067,2,"223Ba04","Southern Interior Low Plateau Dry-Mesic Oak Forest",22789,0
"12","13050_47_48_B","13050_47_48","B",2,"Southern Interior Low Plateau Dry-Mesic Oak Forest",501,501,1,10,2067,2,"223De06","Southern Interior Low Plateau Dry-Mesic Oak Forest",120326,0
"13","13050_47_48_C","13050_47_48","C",36,"Southern Interior Low Plateau Dry-Mesic Oak Forest",2,2,58517,1,2067,3,"223Ba01","Southern Interior Low Plateau Dry-Mesic Oak Forest",64134,91
