"","BPS_ID","EVT_ID","freq","acres","GROUPVEG","bps_acres","EVT_PHYS","evt_acres"
"1",11,7292,96877,21545,"BPS  Open Water",21545,"EVT  Open Water",21545
"2",2067,7291,39,9,"BPS  Hardwood",189535,"EVT  Grassland",29
"3",2067,7295,60,13,"BPS  Hardwood",189535,"EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",197
"4",2067,7296,2251,501,"BPS  Hardwood",189535,"EVT  Developed-Low Intensity",1614
"5",2067,7297,625,139,"BPS  Hardwood",189535,"EVT  Developed-Medium Intensity",482
"6",2067,7298,137,30,"BPS  Hardwood",189535,"EVT  Developed-High Intensity",107
"7",2067,7299,25047,5570,"BPS  Hardwood",189535,"EVT  Developed-Roads",20558
"8",2067,7305,436115,96990,"BPS  Hardwood",189535,"EVT  Hardwood",261642
"9",2067,7313,38,8,"BPS  Hardwood",189535,"EVT  Hardwood",43
"10",2067,7321,199789,44432,"BPS  Hardwood",189535,"EVT  Hardwood",187311
"11",2067,7326,45,10,"BPS  Hardwood",189535,"EVT  Hardwood",43
"12",2067,7401,119,26,"BPS  Hardwood",189535,"EVT  Conifer-Hardwood",71
"13",2067,7457,157,35,"BPS  Hardwood",189535,"EVT  Riparian",171
"14",2067,7905,9151,2035,"BPS  Hardwood",189535,"EVT  Developed",6963
"15",2067,7906,525,117,"BPS  Hardwood",189535,"EVT  Developed",254
"16",2067,7907,1203,268,"BPS  Hardwood",189535,"EVT  Developed",690
"17",2067,7908,1915,426,"BPS  Hardwood",189535,"EVT  Developed",1584
"18",2067,7909,1719,382,"BPS  Hardwood",189535,"EVT  Developed",1419
"19",2067,7925,1185,264,"BPS  Hardwood",189535,"EVT  Developed",721
"20",2067,7927,481,107,"BPS  Hardwood",189535,"EVT  Developed",332
"21",2067,7928,19,4,"BPS  Hardwood",189535,"EVT  Developed",14
"22",2067,7929,806,179,"BPS  Hardwood",189535,"EVT  Developed",564
"23",2067,7974,28811,6407,"BPS  Hardwood",189535,"EVT  Agricultural",35126
"24",2067,7975,197,44,"BPS  Hardwood",189535,"EVT  Agricultural",296
"25",2067,7976,4102,912,"BPS  Hardwood",189535,"EVT  Agricultural",3633
"26",2067,7977,68911,15325,"BPS  Hardwood",189535,"EVT  Agricultural",54734
"27",2067,7978,34,8,"BPS  Hardwood",189535,"EVT  Agricultural",22
"28",2067,9223,563,125,"BPS  Hardwood",189535,"EVT  Riparian",4086
"29",2067,9224,263,58,"BPS  Hardwood",189535,"EVT  Riparian",2963
"30",2067,9312,20,4,"BPS  Hardwood",189535,"EVT  Conifer",61
"31",2067,9314,16,4,"BPS  Hardwood",189535,"EVT  Riparian",278
"32",2067,9315,52517,11680,"BPS  Hardwood",189535,"EVT  Conifer-Hardwood",30457
"33",2067,9317,350,78,"BPS  Hardwood",189535,"EVT  Exotic Tree-Shrub",239
"34",2067,9318,9,2,"BPS  Hardwood",189535,"EVT  Riparian",135
"35",2067,9723,1,0,"BPS  Hardwood",189535,"EVT  Riparian",6
"36",2067,9725,357,79,"BPS  Hardwood",189535,"EVT  Riparian",615
"37",2067,9726,251,56,"BPS  Hardwood",189535,"EVT  Riparian",626
"38",2067,9817,14420,3207,"BPS  Hardwood",189535,"EVT  Exotic Herbaceous",9566
"39",2070,7296,5,1,"BPS  Hardwood",180,"EVT  Developed-Low Intensity",1614
"40",2070,7299,34,8,"BPS  Hardwood",180,"EVT  Developed-Roads",20558
"41",2070,7305,495,110,"BPS  Hardwood",180,"EVT  Hardwood",261642
"42",2070,7321,93,21,"BPS  Hardwood",180,"EVT  Hardwood",187311
"43",2070,7905,4,1,"BPS  Hardwood",180,"EVT  Developed",6963
"44",2070,7906,3,1,"BPS  Hardwood",180,"EVT  Developed",254
"45",2070,7907,3,1,"BPS  Hardwood",180,"EVT  Developed",690
"46",2070,7908,1,0,"BPS  Hardwood",180,"EVT  Developed",1584
"47",2070,7909,1,0,"BPS  Hardwood",180,"EVT  Developed",1419
