Past,EVT,ACRES
Past  Conifer,Hardwood,61
Past  Conifer,Agricultural,12
Past  Conifer,Developed,4
Past  Conifer,Conifer-Hardwood,3
Past  Conifer,Riparian,2
Past  Grassland,Hardwood,5576
Past  Grassland,Agricultural,1582
Past  Grassland,Developed,811
Past  Grassland,Conifer-Hardwood,761
Past  Grassland,Riparian,61
Past  Grassland,Exotics,11
Past  Grassland,Grassland,1
Past  Hardwood,Hardwood,402694
Past  Hardwood,Agricultural,75000
Past  Hardwood,Developed,37114
Past  Hardwood,Conifer-Hardwood,26509
Past  Hardwood,Riparian,1003
Past  Hardwood,Exotics,192
Past  Hardwood,Conifer,32
Past  Hardwood,Grassland,21
Past  Riparian,Hardwood,40707
Past  Riparian,Agricultural,17216
Past  Riparian,Riparian,7810
Past  Riparian,Developed,7129
Past  Riparian,Conifer-Hardwood,3255
Past  Riparian,Exotics,34
Past  Riparian,Conifer,29
Past  Riparian,Grassland,7
