"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","ACRES","REL_PERCENT","annual_dist_acres"
"1","All Fire","13050_47_48",0.2324918,"Southern Interior Low Plateau Dry-Mesic Oak Forest",2067,189535,29.2,44065.333313
"2","All Fire","13100_47",0.1077156,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2070,180,0,19.388808
"3","All Fire","13130_47_50_51",0.0022416,"North-Central Interior Beech-Maple Forest",2071,1468,0.2,3.2906688
"4","All Fire","13210_47_48_53_57",0.014869,"South-Central Interior Mesophytic Forest",2072,350076,53.9,5205.280044
"5","All Fire","13260_47",0.2067602,"South-Central Interior/Upper Coastal Plain Flatwoods",2074,6,0,1.2405612
"6","All Fire","13530_47",0.4891022,"Southern Appalachian Low-Elevation Pine Forest",2076,84,0,41.0845848
"7","All Fire","13630_47_53",0.228031,"Central Interior Highlands Dry Acidic Glade and Barrens",2078,534,0.1,121.768554
"8","All Fire","14010_43_44_47_48_53",0.3002234,"Central Interior Highlands Calcareous Glade and Barrens",2079,8803,1.4,2642.8665902
"9","All Fire","14180_47",0.7055306,"Pennyroyal Karst Plain Prairie and Barrens",2081,4,0,2.8221224
"10","All Fire","14710_47_48_53_54_57_59_60_61_63",0.0126628,"Central Interior and Appalachian Floodplain Systems",2084,24111,3.7,305.3127708
"11","All Fire","14720_44_46_47_48",0.00592,"Central Interior and Appalachian Riparian Systems",2085,40957,6.3,242.46544
"12","All Fire","14790_41_42_47_48_50_51_53",0.0009708,"Central Interior and Appalachian Swamp Systems",2088,11124,1.7,10.7991792
"13","All Fire","15180_43_47_49_52_62_63_64_65",0.0010006,"North-Central Interior Wet Flatwoods",2091,778,0.1,0.7784668
"14","All Transitions","13050_47_48",0.3062046,"Southern Interior Low Plateau Dry-Mesic Oak Forest",2067,189535,29.2,58036.488861
"15","All Transitions","13100_47",0.1163166,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2070,180,0,20.936988
"16","All Transitions","13130_47_50_51",0.1424086,"North-Central Interior Beech-Maple Forest",2071,1468,0.2,209.0558248
"17","All Transitions","13210_47_48_53_57",0.019653,"South-Central Interior Mesophytic Forest",2072,350076,53.9,6880.043628
"18","All Transitions","13260_47",0.229177,"South-Central Interior/Upper Coastal Plain Flatwoods",2074,6,0,1.375062
"19","All Transitions","13530_47",0.4989524,"Southern Appalachian Low-Elevation Pine Forest",2076,84,0,41.9120016
"20","All Transitions","13630_47_53",0.3150016,"Central Interior Highlands Dry Acidic Glade and Barrens",2078,534,0.1,168.2108544
"21","All Transitions","14010_43_44_47_48_53",0.3539598,"Central Interior Highlands Calcareous Glade and Barrens",2079,8803,1.4,3115.9081194
"22","All Transitions","14180_47",0.7858708,"Pennyroyal Karst Plain Prairie and Barrens",2081,4,0,3.1434832
"23","All Transitions","14710_47_48_53_54_57_59_60_61_63",0.0349912,"Central Interior and Appalachian Floodplain Systems",2084,24111,3.7,843.6728232
"24","All Transitions","14720_44_46_47_48",0.0243868,"Central Interior and Appalachian Riparian Systems",2085,40957,6.3,998.8101676
"25","All Transitions","14790_41_42_47_48_50_51_53",0.0091134,"Central Interior and Appalachian Swamp Systems",2088,11124,1.7,101.3774616
"26","All Transitions","15180_43_47_49_52_62_63_64_65",0.0040022,"North-Central Interior Wet Flatwoods",2091,778,0.1,3.1137116
"27","Alternative Succession","13050_47_48",0.0058142,"Southern Interior Low Plateau Dry-Mesic Oak Forest",2067,189535,29.2,1101.994397
"28","Alternative Succession","13100_47",0.0041186,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2070,180,0,0.741348
"29","Alternative Succession","13260_47",0.011428,"South-Central Interior/Upper Coastal Plain Flatwoods",2074,6,0,0.068568
"30","Alternative Succession","13530_47",0.0021256,"Southern Appalachian Low-Elevation Pine Forest",2076,84,0,0.1785504
"31","Alternative Succession","13630_47_53",0.0105336,"Central Interior Highlands Dry Acidic Glade and Barrens",2078,534,0.1,5.6249424
"32","Alternative Succession","14010_43_44_47_48_53",0.002915,"Central Interior Highlands Calcareous Glade and Barrens",2079,8803,1.4,25.660745
"33","Alternative Succession","14180_47",0.000834,"Pennyroyal Karst Plain Prairie and Barrens",2081,4,0,0.003336
"34","Alternative Succession","14710_47_48_53_54_57_59_60_61_63",0.0083988,"Central Interior and Appalachian Floodplain Systems",2084,24111,3.7,202.5034668
"35","Competition or Maintenance","13530_47",0.0047582,"Southern Appalachian Low-Elevation Pine Forest",2076,84,0,0.3996888
"36","Insect or Disease","13210_47_48_53_57",0.0023292,"South-Central Interior Mesophytic Forest",2072,350076,53.9,815.3970192
"37","Insect or Disease","13260_47",0.0044974,"South-Central Interior/Upper Coastal Plain Flatwoods",2074,6,0,0.0269844
"38","Insect or Disease","13530_47",0.0004932,"Southern Appalachian Low-Elevation Pine Forest",2076,84,0,0.0414288
"39","Insect or Disease","14710_47_48_53_54_57_59_60_61_63",0.0030758,"Central Interior and Appalachian Floodplain Systems",2084,24111,3.7,74.1606138
"40","Mixed Fire","13050_47_48",0.0049422,"Southern Interior Low Plateau Dry-Mesic Oak Forest",2067,189535,29.2,936.719877
"41","Mixed Fire","13100_47",0.0061856,"North-Central Interior Dry-Mesic Oak Forest and Woodland",2070,180,0,1.113408
"42","Mixed Fire","13210_47_48_53_57",0.0019268,"South-Central Interior Mesophytic Forest",2072,350076,53.9,674.5264368
"43","Mixed Fire","13260_47",0.0053714,"South-Central Interior/Upper Coastal Plain Flatwoods",2074,6,0,0.0322284
