OID_,Value,Count,Feature_hoos2,bps_aoi,scls_aoi,MAP_UNIT_SYMBOL,BPS_MODEL,BPS_NAME,LABEL
1,1,103508.000000000000000,1,2072,2,223Ba01,13210_47_48_53_57,South-Central Interior Mesophytic Forest,B
2,2,58517.000000000000000,1,2067,3,223Ba01,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,C
3,3,1501.000000000000000,1,2067,5,223Ba01,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,E
4,4,3769.000000000000000,1,2072,3,223Ba01,13210_47_48_53_57,South-Central Interior Mesophytic Forest,C
5,5,3548.000000000000000,1,2072,120,223Ba01,13210_47_48_53_57,South-Central Interior Mesophytic Forest,Developed
6,6,2825.000000000000000,1,2072,7,223Ba01,13210_47_48_53_57,South-Central Interior Mesophytic Forest,UE
7,7,1969.000000000000000,1,2067,120,223Ba01,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,Developed
8,8,13104.000000000000000,1,2085,2,223Ba01,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,B
9,9,2527.000000000000000,1,2088,3,223Ba01,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,C
10,10,1371.000000000000000,1,2067,7,223Ba01,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,UE
11,11,5693.000000000000000,1,2084,3,223Ba01,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,C
12,12,1286.000000000000000,1,2084,2,223Ba01,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,B
13,13,19990.000000000000000,1,11,111,223Ba01,,Open Water,Water
14,14,128.000000000000000,1,2070,5,223Ba01,13100_47,North-Central Interior Dry-Mesic Oak Forest and Woodland,E
15,15,1992.000000000000000,1,2085,180,223Ba01,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,Agriculture
16,16,2521.000000000000000,1,2085,3,223Ba01,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,C
17,17,1257.000000000000000,1,2085,7,223Ba01,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,UE
18,18,368.000000000000000,1,2085,5,223Ba01,14720_44_46_47_48,Central Interior and Appalachian Riparian Systems,E
19,19,588.000000000000000,1,2067,180,223Ba01,13050_47_48,Southern Interior Low Plateau Dry-Mesic Oak Forest,Agriculture
20,20,97.000000000000000,1,2070,4,223Ba01,13100_47,North-Central Interior Dry-Mesic Oak Forest and Woodland,D
21,21,198.000000000000000,1,2088,180,223Ba01,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,Agriculture
22,22,57.000000000000000,1,2084,5,223Ba01,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,E
23,23,266.000000000000000,1,2088,120,223Ba01,14790_41_42_47_48_50_51_53,Central Interior and Appalachian Swamp Systems,Developed
24,24,104.000000000000000,1,2084,4,223Ba01,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,D
25,25,748.000000000000000,1,2084,7,223Ba01,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,UE
26,26,1580.000000000000000,1,2072,180,223Ba01,13210_47_48_53_57,South-Central Interior Mesophytic Forest,Agriculture
27,27,373.000000000000000,1,2084,6,223Ba01,14710_47_48_53_54_57_59_60_61_63,Central Interior and Appalachian Floodplain Systems,UN
28,28,92.000000000000000,1,2079,6,223Ba01,14010_43_44_47_48_53,Central Interior Highlands Calcareous Glade and Barrens,UN
